CUSTOMERCODE,STATENAME,ST,GENDER,DOB,GENDER1,EMAIL,FEST_CNT,TOTAL_AMOUNT,AC_AMOUNT,AV_AMOUNT,HA_AMOUNT,EMI_CE_AMOUNT,IS_HIGHEND,CNT_VIST,GAP_VISIT
931802,State2,2,Female,0,2,0,1,37800,37800,0,0,0,0,1,0
2591130,State2,2,Male,0,1,0,0,32600,0,32600,0,0,0,1,0
795417,State2,2,Male,0,1,0,0,16100,0,0,16100,0,0,1,0
921963,State2,2,Male,0,1,0,1,18400,0,0,18400,0,0,1,0
654648,State2,2,Male,0,1,0,1,17700,0,0,17700,0,0,1,0
424714,State2,2,Male,0,1,0,1,9400,0,0,9400,0,0,1,0
568690,State2,2,Female,0,2,0,0,37400,0,37400,0,0,0,1,0
875619,State2,2,Male,0,1,0,0,8800,0,0,8800,0,0,1,0
759769,State2,2,Male,0,1,0,0,26600,0,0,26600,0,0,1,0
917448,State2,2,Female,0,2,0,1,20900,0,0,20900,0,0,1,0
555600,State2,2,Male,0,1,0,0,15800,0,0,15800,0,0,1,0
493018,State2,2,Male,0,1,0,1,14800,0,0,14800,0,0,1,0
2327731,State2,2,Male,0,1,0,1,20500,0,0,20500,0,0,1,0
987670,State2,2,Male,0,1,0,1,19700,0,19700,0,0,0,2,2
774578,State2,2,Male,0,1,0,0,39900,39900,0,0,0,0,1,0
1763938,State2,2,Female,0,2,0,1,122900,0,122900,0,0,0,1,0
1974036,State2,2,Male,0,1,0,0,33000,0,0,33000,0,0,1,0
434879,State2,2,Male,0,1,0,0,12100,0,0,12100,0,0,1,0
1441313,State2,2,Male,0,1,0,0,14700,0,0,14700,0,0,1,0
2000413,State2,2,Male,0,1,0,0,48400,0,26500,21900,0,0,2,160
1690885,State2,2,Male,0,1,0,1,51900,40700,0,11200,0,0,2,564
1691452,State2,2,Male,0,1,0,1,17400,0,17400,0,0,0,1,0
2309061,State2,2,Male,0,1,0,1,26500,0,26500,0,0,0,1,0
1268985,State2,2,Male,0,1,0,1,12800,0,12800,0,0,0,1,0
368001,State2,2,Male,0,1,0,1,15500,0,15500,0,0,0,1,0
1574773,State2,2,Female,0,2,0,1,21400,0,0,21400,0,0,1,0
819884,State2,2,Male,0,1,0,0,15300,0,0,15300,0,0,1,0
2539899,State2,2,Male,0,1,0,0,36000,0,36000,0,0,0,1,0
925771,State2,2,Male,0,1,0,1,49000,0,49000,0,0,0,1,0
1398573,State2,2,Male,0,1,0,0,35800,0,0,35800,0,0,1,0
818737,State2,2,Male,0,1,0,0,16900,0,16900,0,0,0,1,0
552254,State2,2,Male,0,1,0,0,43000,0,43000,0,0,0,1,0
414062,State2,2,Male,0,1,0,1,28200,0,0,28200,0,0,1,0
1938054,State2,2,Male,0,1,0,0,45100,45100,0,0,0,0,1,0
393246,State2,2,Male,0,1,1,1,18200,0,0,18200,0,0,1,0
2427917,State2,2,Male,0,1,0,1,20600,0,0,20600,0,0,1,0
359257,State2,2,Female,0,2,0,1,23900,0,0,23900,0,0,1,0
1033160,State2,2,Female,0,2,0,1,14500,0,0,14500,0,0,1,0
1161908,State2,2,Female,0,2,0,1,70000,0,70000,0,0,0,1,0
499311,State2,2,Male,0,1,0,1,15800,0,15800,0,0,0,1,0
958331,State2,2,Male,0,1,0,1,6600,0,0,6600,0,0,1,0
576063,State2,2,Male,0,1,0,0,40500,0,40500,0,0,0,1,0
788503,State2,2,Male,0,1,0,0,17000,0,0,17000,0,0,1,0
1656858,State2,2,Male,0,1,0,1,43800,0,0,43800,0,0,1,0
613443,State2,2,Male,0,1,0,0,146800,0,146800,0,0,0,1,0
1958692,State2,2,Male,0,1,0,0,86900,0,43600,43300,0,0,1,0
2546530,State2,2,Male,0,1,0,0,19200,0,0,19200,0,0,1,0
553492,State2,2,Female,0,2,0,0,17100,0,0,17100,0,0,1,0
2533491,State2,2,Male,0,1,0,0,18800,0,0,18800,0,0,1,0
2591948,State2,2,Male,0,1,0,0,24700,0,0,24700,0,0,1,0
720302,State2,2,Male,0,1,0,1,17500,0,2900,14600,0,0,2,482
2307604,State2,2,Male,0,1,0,1,25100,0,0,25100,0,0,1,0
1296969,State2,2,Male,0,1,0,1,19000,0,0,19000,0,0,1,0
562430,State2,2,Male,0,1,0,0,18800,0,0,18800,0,0,1,0
846293,State2,2,Male,0,1,0,0,55700,0,55700,0,0,0,1,0
1469034,State2,2,Male,0,1,0,0,31500,31500,0,0,0,0,1,0
2083955,State2,2,Female,0,2,0,0,27800,0,0,27800,0,0,1,0
2186816,State2,2,Male,0,1,0,1,16000,0,0,16000,0,0,1,0
2443848,State2,2,Male,0,1,0,1,14100,0,14100,0,0,0,1,0
696156,State2,2,Male,0,1,0,1,17100,0,17100,0,0,0,1,0
2159269,State2,2,Male,0,1,0,1,20600,0,0,20600,0,0,1,0
696900,State2,2,Male,0,1,0,1,19100,0,0,19100,0,0,1,0
2588790,State2,2,Male,0,1,0,0,14500,0,0,14500,0,0,1,0
917861,State2,2,Male,0,1,0,1,29400,0,0,29400,0,0,1,0
1529927,State2,2,Male,0,1,0,0,17700,0,17700,0,0,0,1,0
1376438,State2,2,Male,0,1,0,0,54400,54400,0,0,0,0,1,0
621780,State2,2,Male,0,1,0,1,13100,0,0,13100,0,0,1,0
537800,State2,2,Male,0,1,0,1,33700,0,33700,0,0,0,1,0
2078637,State2,2,Female,0,2,0,0,17600,0,0,17600,0,0,1,0
1189431,State2,2,Male,0,1,0,1,29000,0,0,29000,0,0,1,0
923023,State2,2,Male,0,1,0,1,41300,0,41300,0,0,0,1,0
726957,State2,2,Male,0,1,0,0,27700,0,0,27700,0,0,1,0
2642809,State2,2,Male,0,1,0,0,25900,0,25900,0,0,0,1,0
1728901,State2,2,Male,0,1,0,0,21900,0,21900,0,0,0,1,0
1651532,State2,2,Male,0,1,0,1,41100,0,0,41100,0,0,1,0
1121827,State2,2,Male,0,1,0,0,15000,0,15000,0,0,0,1,0
653702,State2,2,Male,0,1,0,1,67100,0,0,67100,0,0,1,0
906337,State2,2,Male,0,1,0,1,29600,0,0,29600,0,0,1,0
836156,State2,2,Male,0,1,0,0,13900,0,0,13900,0,0,1,0
370662,State2,2,Male,0,1,0,1,21700,0,0,21700,0,0,1,0
1762296,State2,2,Female,0,2,0,1,15200,0,0,15200,0,0,1,0
1146245,State2,2,Male,0,1,0,0,13100,0,0,13100,0,0,1,0
2508252,State2,2,Male,0,1,0,0,25600,0,0,25600,0,0,1,0
540649,State2,2,Male,0,1,0,1,12500,0,0,12500,0,0,1,0
684908,State2,2,Female,0,2,0,1,18600,0,0,18600,0,0,1,0
1265773,State2,2,Male,0,1,0,1,30700,0,30700,0,0,0,1,0
1707201,State2,2,Male,0,1,0,1,23000,0,0,23000,0,0,1,0
781355,State2,2,Male,0,1,0,0,41400,41400,0,0,0,0,1,0
923486,State2,2,Male,0,1,0,1,29400,0,0,29400,0,0,1,0
1997059,State2,2,Male,0,1,0,0,40400,40400,0,0,0,0,1,0
1770945,State2,2,Male,0,1,0,1,50600,0,0,50600,0,0,1,0
777309,State2,2,Male,0,1,0,0,34700,0,0,34700,0,0,1,0
356822,State2,2,Male,0,1,0,1,12800,0,0,12800,0,0,1,0
803460,State2,2,Female,0,2,0,0,26300,0,26300,0,0,0,1,0
1026528,State2,2,Male,0,1,0,1,14900,0,0,14900,0,0,1,0
1020117,State2,2,Male,0,1,0,1,14500,0,0,14500,0,0,1,0
1070344,State2,2,Male,0,1,0,1,14100,0,0,14100,0,0,1,0
950376,State2,2,Male,0,1,0,1,72100,41900,30200,0,0,0,2,270
1969810,State2,2,Male,0,1,0,0,15600,0,0,15600,0,0,1,0
2540572,State2,2,Male,0,1,0,0,31700,0,0,31700,0,0,1,0
431104,State2,2,Male,0,1,0,0,14500,0,0,14500,0,0,1,0
2265725,State2,2,Male,0,1,0,0,15700,0,15700,0,0,0,1,0
1598594,State2,2,Female,0,2,0,1,15800,0,0,15800,0,0,1,0
1632561,State2,2,Male,0,1,0,1,33200,0,0,33200,0,0,1,0
848451,State2,2,Male,0,1,0,0,23300,0,0,23300,0,0,1,0
2434330,State2,2,Male,0,1,0,1,15300,0,0,15300,0,0,1,0
1386314,State2,2,Female,0,2,0,0,17000,0,17000,0,0,0,1,0
521058,State2,2,Male,0,1,0,1,16300,0,0,16300,0,0,1,0
600370,State2,2,Male,0,1,0,0,16800,0,16800,0,0,0,1,0
1381053,State2,2,Female,0,2,0,0,73900,0,73900,0,0,0,3,31
870672,State2,2,Male,0,1,0,0,23400,0,17200,6200,0,0,1,0
1998622,State2,2,Male,0,1,0,0,15800,0,15800,0,0,0,1,0
830817,State2,2,Male,0,1,0,0,15700,0,15700,0,0,0,1,0
1632389,State2,2,Male,0,1,0,1,21000,0,0,21000,0,0,1,0
1903089,State2,2,Female,1,2,1,3,101500,47000,54500,0,0,0,4,354
666802,State2,2,Male,0,1,0,1,35800,0,0,35800,0,0,1,0
2492920,State2,2,Male,0,1,0,1,55600,0,55600,0,0,0,1,0
1914266,State2,2,Male,0,1,0,1,33900,0,0,33900,0,0,1,0
848317,State2,2,Female,0,2,0,0,23600,0,0,23600,0,0,1,0
1596365,State2,2,Male,0,1,0,1,15900,0,15900,0,0,0,1,0
1997940,State2,2,Male,0,1,0,0,38100,0,38100,0,0,0,1,0
366704,State2,2,Male,0,1,0,1,13800,0,0,13800,0,0,1,0
425033,State2,2,Male,0,1,0,1,13500,0,0,13500,0,0,1,0
1446097,State2,2,Male,0,1,0,0,42600,42600,0,0,0,0,1,0
649160,State2,2,Female,0,2,0,1,42900,42900,0,0,0,0,1,0
794009,State2,2,Female,0,2,0,0,18400,0,0,18400,0,0,1,0
2128139,State2,2,Male,0,1,0,1,18900,0,0,18900,0,0,1,0
819423,State2,2,Male,0,1,0,0,12900,0,0,12900,0,0,1,0
912890,State2,2,Female,0,2,0,1,12800,0,0,12800,0,0,1,0
926140,State2,2,Male,0,1,0,1,20900,0,0,20900,0,0,1,0
1004252,State2,2,Male,0,1,0,1,31200,0,31200,0,0,0,1,0
799297,State2,2,Male,0,1,0,0,36300,36300,0,0,0,0,1,0
1875151,State2,2,Male,0,1,0,1,15800,0,15800,0,0,0,1,0
2322846,State2,2,Female,0,2,0,1,14100,0,0,14100,0,0,1,0
1870263,State2,2,Male,0,1,0,1,43400,0,26500,16900,0,0,1,0
1232904,State2,2,Male,0,1,0,0,29500,0,0,29500,0,0,1,0
2635506,State2,2,Female,0,2,0,0,19000,0,0,19000,0,0,1,0
1402281,State2,2,Male,0,1,0,0,22700,0,0,22700,0,0,1,0
2559680,State2,2,Male,0,1,0,0,36000,36000,0,0,0,0,1,0
1229414,State2,2,Male,0,1,0,0,62800,62800,0,0,0,0,1,0
1112179,State2,2,Male,0,1,0,0,50400,0,50400,0,0,0,1,0
920517,State2,2,Male,0,1,0,1,61000,0,61000,0,0,0,1,0
1082013,State2,2,Male,0,1,0,1,32200,0,32200,0,0,0,1,0
2399517,State2,2,Female,0,2,0,0,78400,0,47200,31200,0,0,2,136
1216256,State2,2,Male,0,1,0,1,8100,0,0,8100,0,0,1,0
1216384,State2,2,Male,0,1,0,1,19400,0,0,19400,0,0,1,0
1752186,State2,2,Male,0,1,0,1,3000,0,3000,0,0,0,1,0
426001,State2,2,Male,0,1,0,1,17600,0,0,17600,0,0,1,0
2051873,State2,2,Male,0,1,0,0,17300,0,0,17300,0,0,1,0
2282444,State2,2,Male,0,1,0,0,16400,0,16400,0,0,0,1,0
390665,State2,2,Female,0,2,0,1,37700,0,0,37700,0,0,2,4
1905948,State2,2,Male,0,1,0,1,17200,0,0,17200,0,0,1,0
2437601,State2,2,Male,0,1,0,1,16400,0,0,16400,0,0,1,0
1605781,State2,2,Male,0,1,0,1,19200,0,0,19200,0,0,1,0
1540359,State2,2,Male,0,1,0,1,15300,0,0,15300,0,0,1,0
2093289,State2,2,Male,0,1,0,0,14000,0,0,14000,0,0,1,0
1427790,State2,2,Male,0,1,0,0,33700,0,0,33700,0,0,1,0
493650,State2,2,Male,0,1,0,1,13500,0,0,13500,0,0,1,0
2051023,State2,2,Male,0,1,0,0,27500,0,0,27500,0,0,1,0
2532568,State2,2,Male,1,1,1,0,48000,48000,0,0,0,0,1,0
1637228,State2,2,Male,0,1,0,2,68500,0,68500,0,0,0,2,16
748095,State2,2,Male,0,1,0,0,16600,0,0,16600,0,0,1,0
1035862,State2,2,Male,0,1,0,1,20400,0,0,20400,0,0,1,0
1159969,State2,2,Male,0,1,0,1,7000,0,0,7000,0,0,1,0
970531,State2,2,Male,0,1,0,0,17700,0,17700,0,0,0,1,0
1002078,State2,2,Male,0,1,0,1,12600,0,0,12600,0,0,1,0
967897,State2,2,Male,0,1,0,0,14400,0,0,14400,0,0,1,0
2512379,State2,2,Female,0,2,0,0,40600,40600,0,0,0,0,1,0
758189,State2,2,Male,0,1,0,0,34500,0,34500,0,0,0,1,0
487928,State2,2,Male,0,1,1,0,72300,0,27900,44400,0,0,1,0
475478,State2,2,Male,0,1,0,0,38800,0,0,38800,0,0,3,65
665135,State2,2,Male,0,1,0,1,45000,45000,0,0,0,0,1,0
2093354,State2,2,Male,0,1,0,0,24000,0,24000,0,0,0,1,0
883981,State2,2,Male,0,1,0,0,28400,0,0,28400,0,0,1,0
958932,State2,2,Male,0,1,0,1,25700,0,25700,0,0,0,1,0
753947,State2,2,Male,0,1,0,0,39000,0,0,39000,0,0,1,0
929392,State2,2,Male,0,1,0,1,21700,0,0,21700,0,0,1,0
1245806,State2,2,Male,0,1,0,0,5700,0,5700,0,0,0,1,0
680571,State2,2,Male,0,1,0,1,40800,40800,0,0,0,0,1,0
2452240,State2,2,Male,1,1,1,1,22500,0,0,22500,0,0,1,0
1908218,State2,2,Male,0,1,0,1,29000,0,29000,0,0,0,1,0
1618073,State2,2,Male,0,1,0,0,120100,120100,0,0,0,0,1,0
1012058,State2,2,Male,0,1,0,1,50900,0,0,50900,0,0,1,0
2098677,State2,2,Male,0,1,0,1,29500,0,13700,15800,0,0,2,59
1006397,State2,2,Male,0,1,0,1,142800,0,142800,0,0,0,1,0
502247,State2,2,Male,0,1,0,1,15600,0,0,15600,0,0,1,0
950898,State2,2,Male,0,1,0,1,22400,0,0,22400,0,0,1,0
914290,State2,2,Male,0,1,0,1,18800,0,0,18800,0,0,1,0
945905,State2,2,Male,0,1,0,1,31600,0,31600,0,0,0,1,0
462505,State2,2,Male,0,1,0,0,15500,0,15500,0,0,0,1,0
1361450,State2,2,Male,0,1,0,1,14800,0,0,14800,0,0,1,0
2272909,State2,2,Male,0,1,0,0,19300,0,0,19300,0,0,1,0
883226,State2,2,Male,0,1,0,0,62100,0,62100,0,0,0,1,0
1310480,State2,2,Female,0,2,0,1,16100,0,0,16100,0,0,1,0
1822480,State2,2,Male,0,1,0,0,18800,0,0,18800,0,0,1,0
804474,State2,2,Male,0,1,0,0,14100,0,0,14100,0,0,1,0
1920013,State2,2,Male,0,1,0,1,18300,0,0,18300,0,0,1,0
2133331,State2,2,Male,0,1,0,1,17600,0,0,17600,0,0,1,0
585466,State2,2,Male,0,1,0,0,15700,0,0,15700,0,0,1,0
1803230,State2,2,Male,0,1,0,0,16200,0,16200,0,0,0,1,0
2500348,State2,2,Male,0,1,0,0,41500,41500,0,0,0,0,1,0
2568473,State2,2,Male,0,1,0,0,18300,0,0,18300,0,0,1,0
392123,State2,2,Male,0,1,0,1,15900,0,0,15900,0,0,1,0
2199574,State2,2,Male,0,1,0,1,54200,0,54200,0,0,0,1,0
2348832,State2,2,Male,0,1,0,1,24600,0,0,24600,0,0,1,0
1124517,State2,2,Female,0,2,0,0,21400,0,0,21400,0,0,1,0
1302973,State2,2,Male,0,1,0,1,16200,0,16200,0,0,0,1,0
725337,State2,2,Male,0,1,0,0,15900,0,15900,0,0,0,1,0
422117,State2,2,Male,0,1,0,1,50400,0,50400,0,0,0,1,0
2160991,State2,2,Male,0,1,0,1,14200,0,14200,0,0,0,1,0
1549032,State2,2,Female,0,2,0,1,18200,0,0,18200,0,0,1,0
1340319,State2,2,Male,0,1,0,1,20200,0,0,20200,0,0,1,0
891667,State2,2,Female,0,2,0,1,38600,38600,0,0,0,0,1,0
1707826,State2,2,Male,0,1,0,1,12000,0,0,12000,0,0,1,0
670987,State2,2,Male,0,1,0,1,36000,36000,0,0,0,0,1,0
584398,State2,2,Male,0,1,0,0,16100,0,0,16100,0,0,1,0
763255,State2,2,Male,0,1,0,0,13400,0,13400,0,0,0,1,0
1294539,State2,2,Male,0,1,0,1,16800,0,0,16800,0,0,1,0
1512445,State2,2,Male,0,1,0,0,22500,0,0,22500,0,0,1,0
1566171,State2,2,Male,0,1,0,1,15200,0,0,15200,0,0,1,0
2191077,State2,2,Female,0,2,0,1,17600,0,0,17600,0,0,1,0
793320,State2,2,Male,0,1,0,0,12700,0,0,12700,0,0,1,0
1812088,State2,2,Male,0,1,0,0,15400,0,15400,0,0,0,1,0
675809,State2,2,Male,0,1,0,1,21500,0,0,21500,0,0,1,0
2423121,State2,2,Male,0,1,0,1,28300,0,0,28300,0,0,1,0
1861175,State2,2,Male,0,1,0,0,16300,0,0,16300,0,0,1,0
736712,State2,2,Male,0,1,0,0,13300,0,0,13300,0,0,1,0
926881,State2,2,Male,0,1,0,1,19500,0,0,19500,0,0,1,0
2331495,State2,2,Male,0,1,0,1,66600,0,66600,0,0,0,1,0
2216135,State2,2,Female,0,2,0,1,17100,0,17100,0,0,0,1,0
786797,State2,2,Male,0,1,0,0,34600,0,0,34600,0,0,1,0
1172629,State2,2,Male,0,1,0,1,5700,0,5700,0,0,0,1,0
746258,State2,2,Female,0,2,0,0,35400,0,35400,0,0,0,1,0
379642,State2,2,Female,0,2,0,1,33200,0,33200,0,0,0,1,0
773661,State2,2,Male,0,1,0,0,17900,0,0,17900,0,0,1,0
1301546,State2,2,Male,0,1,0,1,27400,0,0,27400,0,0,1,0
446181,State2,2,Male,0,1,0,0,29200,0,29200,0,0,0,1,0
621361,State2,2,Male,0,1,0,1,85500,0,85500,0,0,0,1,0
1866012,State2,2,Male,0,1,0,1,16300,0,0,16300,0,0,1,0
1830812,State2,2,Male,0,1,0,0,19800,0,0,19800,0,0,1,0
695834,State2,2,Female,0,2,0,1,44600,0,0,44600,0,0,1,0
1770512,State2,2,Male,0,1,0,1,41400,0,0,41400,0,0,1,0
1699335,State2,2,Male,0,1,0,1,15600,0,15600,0,0,0,1,0
2408175,State2,2,Male,0,1,0,0,16400,0,0,16400,0,0,1,0
1599002,State2,2,Male,0,1,0,1,24100,0,0,24100,0,0,1,0
510399,State2,2,Male,0,1,0,1,17100,0,17100,0,0,0,1,0
801929,State2,2,Male,0,1,0,0,15500,0,0,15500,0,0,1,0
1646587,State2,2,Male,0,1,0,1,18000,0,0,18000,0,0,1,0
2443996,State2,2,Male,0,1,0,1,35100,0,0,35100,0,0,1,0
2514215,State2,2,Male,0,1,0,0,19000,0,0,19000,0,0,1,0
551213,State2,2,Female,0,2,0,0,43400,0,43400,0,0,0,1,0
690832,State2,2,Male,0,1,0,1,52700,0,0,52700,0,0,1,0
1295854,State2,2,Male,1,1,1,2,59900,0,25100,34800,0,0,4,655
1748875,State2,2,Male,0,1,0,1,15200,0,15200,0,0,0,1,0
1884968,State2,2,Male,0,1,0,1,21600,0,0,21600,0,0,1,0
1540411,State2,2,Male,0,1,0,1,17000,0,17000,0,0,0,1,0
1365595,State2,2,Male,0,1,0,1,11500,0,11500,0,0,0,1,0
743650,State2,2,Female,0,2,0,0,17500,0,0,17500,0,0,1,0
894264,State2,2,Male,0,1,0,1,27800,27800,0,0,0,0,1,0
937931,State2,2,Male,0,1,0,2,114400,0,47500,66900,0,0,6,1032
2231184,State2,2,Male,0,1,0,1,38700,0,0,38700,0,0,1,0
554757,State2,2,Male,0,1,1,0,22100,0,0,22100,0,0,1,0
1969321,State2,2,Female,0,2,0,0,29600,0,0,29600,0,0,1,0
2463251,State2,2,Male,0,1,0,1,16800,0,0,16800,0,0,1,0
2553309,State2,2,Male,0,1,0,0,27400,0,27400,0,0,0,1,0
1647497,State2,2,Male,0,1,0,1,16400,0,16400,0,0,0,1,0
2472666,State2,2,Male,0,1,0,1,36300,36300,0,0,0,0,1,0
705282,State2,2,Male,0,1,0,0,16600,0,16600,0,0,0,1,0
1656360,State2,2,Male,0,1,0,1,22500,0,0,22500,0,0,1,0
1314542,State2,2,Male,0,1,0,1,19000,0,19000,0,0,0,1,0
1427685,State2,2,Male,0,1,0,1,62500,0,30400,32100,0,0,4,450
2225026,State2,2,Male,0,1,0,1,27800,0,27800,0,0,0,1,0
733682,State2,2,Male,0,1,0,0,45000,45000,0,0,0,0,1,0
1740873,State2,2,Male,0,1,0,0,28100,0,28100,0,0,0,1,0
1765660,State2,2,Male,0,1,0,1,32700,0,32700,0,0,0,1,0
935342,State2,2,Male,0,1,0,1,33600,0,33600,0,0,0,1,0
1710386,State2,2,Male,0,1,0,1,22100,0,0,22100,0,0,1,0
1777075,State2,2,Male,0,1,0,1,30000,0,0,30000,0,0,1,0
608859,State2,2,Male,0,1,0,0,14600,0,0,14600,0,0,1,0
2306298,State2,2,Male,0,1,0,0,14900,0,14900,0,0,0,1,0
2144989,State2,2,Male,0,1,0,1,15300,0,0,15300,0,0,1,0
484860,State2,2,Male,0,1,0,0,2800,0,2800,0,0,0,1,0
1859678,State2,2,Female,0,2,0,0,19700,0,0,19700,0,0,1,0
761018,State2,2,Male,1,1,1,0,21200,0,0,21200,0,0,1,0
2519566,State2,2,Male,0,1,0,0,55700,55700,0,0,0,0,1,0
1896750,State2,2,Male,1,1,0,2,92500,58200,23500,10800,0,0,2,212
2442446,State2,2,Male,0,1,0,1,13800,0,0,13800,0,0,1,0
411846,State2,2,Male,0,1,0,1,31400,0,31400,0,0,0,1,0
372140,State2,2,Male,0,1,0,1,17300,0,17300,0,0,0,1,0
1653491,State2,2,Male,0,1,0,1,20300,0,0,20300,0,0,1,0
1465227,State2,2,Male,0,1,0,0,21800,0,0,21800,0,0,1,0
549795,State2,2,Female,0,2,0,0,29400,0,29400,0,0,0,1,0
449573,State2,2,Male,0,1,0,0,59500,0,32400,27100,0,0,1,0
1356900,State2,2,Female,0,2,0,1,16800,0,0,16800,0,0,1,0
2202833,State2,2,Male,0,1,0,1,15300,0,15300,0,0,0,1,0
1319167,State2,2,Male,0,1,0,0,14100,0,14100,0,0,0,1,0
2361877,State2,2,Male,0,1,0,0,53700,0,53700,0,0,0,1,0
2433923,State2,2,Male,0,1,0,2,69200,44600,24600,0,0,0,2,7
955672,State2,2,Male,0,1,0,1,27800,0,0,27800,0,0,1,0
1651432,State2,2,Male,0,1,0,1,33600,0,33600,0,0,0,1,0
2428066,State2,2,Female,0,2,0,1,36300,0,0,36300,0,0,1,0
2615685,State2,2,Male,0,1,0,0,31400,0,0,31400,0,0,1,0
1131569,State2,2,Male,0,1,0,0,2700,0,2700,0,0,0,1,0
2515348,State2,2,Male,0,1,0,0,19400,0,0,19400,0,0,1,0
936536,State2,2,Male,0,1,0,1,13600,0,0,13600,0,0,1,0
424561,State2,2,Male,0,1,0,1,93100,0,0,93100,0,0,1,0
930601,State2,2,Male,0,1,0,1,11700,0,0,11700,0,0,1,0
531977,State2,2,Male,0,1,0,1,21300,0,0,21300,0,0,1,0
1923922,State2,2,Male,0,1,0,1,18200,0,0,18200,0,0,1,0
489891,State2,2,Male,0,1,0,1,2700,0,2700,0,0,0,1,0
1070309,State2,2,Male,0,1,0,1,14600,0,0,14600,0,0,1,0
1157749,State2,2,Male,0,1,0,1,14400,0,0,14400,0,0,1,0
1866154,State2,2,Male,0,1,0,1,16100,0,0,16100,0,0,1,0
2440047,State2,2,Male,0,1,0,1,23700,0,0,23700,0,0,1,0
873077,State2,2,Male,0,1,0,0,49300,49300,0,0,0,0,1,0
766498,State2,2,Male,0,1,0,0,15200,0,15200,0,0,0,1,0
2225974,State2,2,Male,0,1,0,1,27100,0,27100,0,0,0,1,0
