CONTINENT,REGIONID,PRODUCTGROUP,PRODUCT,YEARWEEK,QTY
N01,A01,PG04,PRODUCT75,201403,23768
N01,A01,PG01,PRODUCT08,201403,105
N01,A01,PG02,PRODUCT19,201403,1513
N01,A01,PG02,PRODUCT20,201403,59
N01,A01,PG03,PRODUCT47,201403,4436
N01,A01,PG03,PRODUCT60,201403,4
N01,A01,PG03,PRODUCT56,201403,5449
N01,A01,PG03,PRODUCT57,201403,13394
N01,A01,PG01,PRODUCT12,201403,119281
N01,A01,PG01,PRODUCT01,201403,21350
N01,A01,PG02,PRODUCT33,201403,6940
N01,A01,PG01,PRODUCT14,201403,8022
N01,A01,PG03,PRODUCT62,201403,3823
N01,A02,PG01,PRODUCT02,201403,3697
N01,A02,PG01,PRODUCT06,201403,0
N01,A02,PG03,PRODUCT58,201403,100
N01,A02,PG04,PRODUCT63,201403,3216
N01,A02,PG01,PRODUCT04,201403,1748
N01,A02,PG01,PRODUCT16,201403,-1
N01,A02,PG03,PRODUCT59,201403,20184
N01,A02,PG02,PRODUCT34,201403,1404
N01,A02,PG03,PRODUCT47,201403,488
N01,A02,PG03,PRODUCT60,201403,12
N01,A02,PG03,PRODUCT56,201403,107
N01,A02,PG03,PRODUCT57,201403,54
N01,A02,PG01,PRODUCT12,201403,5496
N01,A02,PG01,PRODUCT01,201403,168
N01,A02,PG02,PRODUCT33,201403,885
N01,A02,PG01,PRODUCT14,201403,923
N01,A02,PG03,PRODUCT62,201403,335
N01,A03,PG01,PRODUCT02,201403,1066
N01,A03,PG01,PRODUCT06,201403,11
N01,A03,PG03,PRODUCT58,201403,189
N01,A03,PG04,PRODUCT63,201403,1728
N01,A03,PG01,PRODUCT15,201403,2462
N01,A03,PG01,PRODUCT04,201403,1012
N01,A03,PG01,PRODUCT16,201403,1469
N01,A03,PG03,PRODUCT59,201403,21588
N01,A03,PG02,PRODUCT34,201403,610
N01,A03,PG03,PRODUCT47,201403,226
N01,A03,PG03,PRODUCT56,201403,122
N01,A03,PG03,PRODUCT57,201403,1398
N01,A03,PG01,PRODUCT12,201403,5838
N01,A03,PG01,PRODUCT01,201403,151
N01,A03,PG02,PRODUCT33,201403,383
N01,A03,PG01,PRODUCT14,201403,69
N01,A03,PG03,PRODUCT62,201403,1304
N02,A19,PG03,PRODUCT58,201403,0
N02,A19,PG03,PRODUCT59,201403,32110
N02,A19,PG02,PRODUCT34,201403,920
N02,A16,PG03,PRODUCT58,201403,0
N02,A16,PG04,PRODUCT63,201403,4944
N02,A16,PG01,PRODUCT15,201403,640
N02,A16,PG01,PRODUCT04,201403,2307
N02,A16,PG01,PRODUCT16,201403,12
N02,A16,PG03,PRODUCT59,201403,63255
N02,A16,PG02,PRODUCT34,201403,946
N02,A16,PG02,PRODUCT38,201403,1838
N02,A16,PG02,PRODUCT26,201403,107
N02,A16,PG04,PRODUCT64,201403,208
N02,A16,PG03,PRODUCT48,201403,62
N02,A16,PG03,PRODUCT49,201403,17
N02,A16,PG04,PRODUCT74,201403,8
N02,A16,PG02,PRODUCT40,201403,282
N02,A16,PG03,PRODUCT47,201403,72
N02,A16,PG03,PRODUCT60,201403,1108
N02,A16,PG03,PRODUCT56,201403,984
N02,A16,PG01,PRODUCT12,201403,28102
N02,A16,PG01,PRODUCT01,201403,3225
N02,A16,PG02,PRODUCT41,201403,169
N02,A16,PG03,PRODUCT51,201403,1
N02,A16,PG04,PRODUCT68,201403,7
N02,A16,PG02,PRODUCT33,201403,2414
N02,A16,PG01,PRODUCT14,201403,89
N01,A10,PG01,PRODUCT02,201403,0
N01,A10,PG03,PRODUCT58,201403,0
N01,A10,PG04,PRODUCT63,201403,6787
N02,A15,PG01,PRODUCT01,201402,1303
N02,A15,PG02,PRODUCT33,201402,2489
N03,A40,PG01,PRODUCT16,201404,449
N03,A40,PG03,PRODUCT59,201404,37062
N03,A40,PG02,PRODUCT34,201404,3660
N03,A40,PG02,PRODUCT40,201404,89
N03,A40,PG03,PRODUCT47,201404,0
N03,A40,PG03,PRODUCT60,201404,3850
N03,A40,PG03,PRODUCT56,201404,80
N03,A40,PG03,PRODUCT57,201404,17
N03,A40,PG01,PRODUCT12,201404,58500
N03,A40,PG01,PRODUCT01,201404,3931
N03,A40,PG02,PRODUCT33,201404,7242
N03,A45,PG03,PRODUCT58,201404,0
N03,A45,PG03,PRODUCT59,201404,7128
N03,A45,PG02,PRODUCT34,201404,459
N03,A45,PG02,PRODUCT40,201404,0
N03,A45,PG03,PRODUCT47,201404,0
N03,A45,PG03,PRODUCT60,201404,800
N03,A45,PG03,PRODUCT56,201404,37
N03,A45,PG03,PRODUCT57,201404,52
N03,A45,PG01,PRODUCT12,201404,5900
N03,A45,PG01,PRODUCT01,201404,344
N03,A45,PG02,PRODUCT33,201404,1569
N03,A44,PG03,PRODUCT58,201404,0
N03,A44,PG03,PRODUCT59,201404,13512
N03,A44,PG02,PRODUCT34,201404,1126
N03,A44,PG03,PRODUCT47,201404,0
N03,A44,PG03,PRODUCT60,201404,748
N03,A44,PG03,PRODUCT56,201404,40
N03,A44,PG03,PRODUCT57,201404,201
N03,A44,PG01,PRODUCT12,201404,3020
N03,A44,PG01,PRODUCT01,201404,204
N03,A44,PG02,PRODUCT33,201404,1707
N04,A47,PG01,PRODUCT02,201404,0
N04,A47,PG03,PRODUCT58,201404,0
N04,A47,PG03,PRODUCT59,201404,236699
N04,A47,PG02,PRODUCT34,201404,6707
N04,A48,PG02,PRODUCT35,201404,0
N04,A48,PG02,PRODUCT25,201404,0
N04,A48,PG01,PRODUCT03,201404,0
N04,A48,PG04,PRODUCT72,201404,0
N04,A48,PG02,PRODUCT40,201404,416
N04,A48,PG03,PRODUCT47,201404,1154
N04,A48,PG01,PRODUCT13,201404,162
N04,A48,PG04,PRODUCT73,201404,2425
N04,A48,PG03,PRODUCT60,201404,49
N04,A48,PG03,PRODUCT56,201404,3009
N04,A48,PG03,PRODUCT57,201404,1944
N04,A48,PG03,PRODUCT61,201404,14
N04,A48,PG01,PRODUCT12,201404,11349
N04,A48,PG01,PRODUCT01,201404,9290
N05,A77,PG01,PRODUCT12,201404,2628
N05,A77,PG01,PRODUCT01,201404,1623
N04,A48,PG02,PRODUCT33,201404,2388
N04,A48,PG03,PRODUCT62,201404,3868
N05,A61,PG03,PRODUCT58,201404,0
N05,A61,PG03,PRODUCT59,201404,2062
N05,A61,PG02,PRODUCT34,201404,508
N03,A33,PG03,PRODUCT58,201404,0
N03,A33,PG03,PRODUCT59,201404,14683
N03,A33,PG02,PRODUCT34,201404,384
N03,A34,PG03,PRODUCT58,201404,0
N03,A34,PG03,PRODUCT59,201404,46384
N03,A34,PG02,PRODUCT34,201404,1574
N03,A34,PG01,PRODUCT12,201404,0
N03,A35,PG03,PRODUCT58,201404,0
N03,A35,PG03,PRODUCT59,201404,6840
N03,A35,PG02,PRODUCT34,201404,0
N03,A36,PG03,PRODUCT59,201404,0
N03,A42,PG03,PRODUCT58,201404,0
N03,A42,PG03,PRODUCT59,201404,1412
N03,A42,PG02,PRODUCT34,201404,12
N04,A54,PG03,PRODUCT58,201404,0
N04,A54,PG03,PRODUCT59,201404,3438
N04,A54,PG02,PRODUCT34,201404,183
N04,A55,PG03,PRODUCT58,201404,0
N04,A55,PG03,PRODUCT59,201404,373
N04,A55,PG02,PRODUCT34,201404,7
N01,A00,PG03,PRODUCT58,201404,0
N01,A00,PG03,PRODUCT59,201404,8553
N01,A00,PG02,PRODUCT34,201404,532
N03,A29,PG03,PRODUCT58,201404,0
N03,A29,PG03,PRODUCT59,201404,11972
N03,A29,PG02,PRODUCT34,201404,1707
N05,A63,PG03,PRODUCT58,201404,0
N05,A63,PG03,PRODUCT59,201404,829
N05,A63,PG02,PRODUCT34,201404,52
N05,A66,PG03,PRODUCT58,201404,0
N05,A66,PG03,PRODUCT59,201404,302
N05,A66,PG02,PRODUCT34,201404,53
N05,A67,PG03,PRODUCT58,201404,0
N05,A67,PG03,PRODUCT59,201404,7676
N05,A67,PG02,PRODUCT34,201404,650
N05,A69,PG03,PRODUCT58,201404,0
N05,A69,PG03,PRODUCT59,201404,386
N05,A69,PG02,PRODUCT34,201404,151
N05,A68,PG03,PRODUCT58,201404,0
N05,A68,PG03,PRODUCT59,201404,1416
N05,A68,PG02,PRODUCT34,201404,250
N04,A53,PG03,PRODUCT58,201404,0
N04,A53,PG03,PRODUCT59,201404,1813
N04,A53,PG02,PRODUCT34,201404,47
N05,A70,PG03,PRODUCT58,201404,0
N05,A70,PG03,PRODUCT59,201404,309
N05,A70,PG02,PRODUCT34,201404,60
N01,A12,PG02,PRODUCT34,201405,1267
N01,A12,PG02,PRODUCT40,201405,26
N01,A12,PG03,PRODUCT47,201405,13
N01,A12,PG03,PRODUCT60,201405,317
N01,A12,PG03,PRODUCT56,201405,42
N01,A12,PG03,PRODUCT57,201405,173
N01,A12,PG01,PRODUCT12,201405,13872
N01,A12,PG01,PRODUCT01,201405,472
N01,A12,PG02,PRODUCT33,201405,701
N01,A12,PG01,PRODUCT14,201405,22
N01,A08,PG03,PRODUCT58,201405,0
N01,A08,PG04,PRODUCT63,201405,1940
N01,A08,PG01,PRODUCT15,201405,278
N01,A08,PG01,PRODUCT04,201405,2104
N01,A08,PG01,PRODUCT16,201405,35
N01,A08,PG02,PRODUCT36,201405,3
N03,A44,PG03,PRODUCT56,201401,26
N03,A44,PG03,PRODUCT57,201401,246
N03,A44,PG01,PRODUCT12,201401,8196
N03,A44,PG01,PRODUCT01,201401,501
N03,A44,PG02,PRODUCT33,201401,1869
N04,A47,PG01,PRODUCT02,201401,0
N04,A47,PG03,PRODUCT58,201401,0
N04,A47,PG03,PRODUCT59,201401,77407
N04,A47,PG02,PRODUCT34,201401,4065
N04,A48,PG02,PRODUCT35,201401,0
N04,A48,PG02,PRODUCT25,201401,0
N04,A48,PG01,PRODUCT03,201401,0
N04,A48,PG04,PRODUCT72,201401,0
N04,A48,PG02,PRODUCT40,201401,300
N04,A48,PG03,PRODUCT47,201401,1175
N04,A48,PG01,PRODUCT13,201401,80
N04,A48,PG04,PRODUCT73,201401,2832
N04,A48,PG03,PRODUCT60,201401,42
N04,A48,PG03,PRODUCT56,201401,2867
N04,A48,PG03,PRODUCT57,201401,1986
N04,A48,PG03,PRODUCT61,201401,2
N04,A48,PG01,PRODUCT12,201401,10350
N04,A48,PG01,PRODUCT01,201401,8747
N05,A77,PG01,PRODUCT12,201401,3821
N05,A77,PG01,PRODUCT01,201401,3580
N04,A48,PG02,PRODUCT33,201401,2227
N04,A48,PG03,PRODUCT62,201401,3561
N05,A61,PG03,PRODUCT58,201401,0
N05,A61,PG03,PRODUCT59,201401,2984
N05,A61,PG02,PRODUCT34,201401,290
N03,A33,PG03,PRODUCT58,201401,0
N03,A33,PG03,PRODUCT59,201401,14473
N03,A33,PG02,PRODUCT34,201401,601
N03,A34,PG03,PRODUCT58,201401,0
N03,A34,PG03,PRODUCT59,201401,62372
N03,A34,PG02,PRODUCT34,201401,1984
N03,A34,PG01,PRODUCT12,201401,0
N03,A35,PG03,PRODUCT58,201401,0
N03,A35,PG03,PRODUCT59,201401,4067
N03,A35,PG02,PRODUCT34,201401,0
N03,A36,PG03,PRODUCT59,201401,0
N03,A42,PG03,PRODUCT58,201401,0
N03,A42,PG03,PRODUCT59,201401,1347
N03,A42,PG02,PRODUCT34,201401,10
N04,A54,PG03,PRODUCT58,201401,0
N04,A54,PG03,PRODUCT59,201401,1912
N04,A54,PG02,PRODUCT34,201401,499
N04,A55,PG03,PRODUCT58,201401,0
N04,A55,PG03,PRODUCT59,201401,508
N04,A55,PG02,PRODUCT34,201401,11
N01,A00,PG03,PRODUCT58,201401,0
N01,A00,PG03,PRODUCT59,201401,9988
N01,A00,PG02,PRODUCT34,201401,661
N03,A29,PG03,PRODUCT58,201401,0
N03,A29,PG03,PRODUCT59,201401,11041
N03,A29,PG02,PRODUCT34,201401,1623
N05,A63,PG03,PRODUCT58,201401,0
N05,A63,PG03,PRODUCT59,201401,770
N05,A63,PG02,PRODUCT34,201401,132
N05,A66,PG03,PRODUCT58,201401,0
N05,A66,PG03,PRODUCT59,201401,583
N05,A66,PG02,PRODUCT34,201401,65
N05,A67,PG03,PRODUCT58,201401,0
N05,A67,PG03,PRODUCT59,201401,5372
N05,A67,PG02,PRODUCT34,201401,457
N05,A69,PG03,PRODUCT58,201401,0
N05,A69,PG03,PRODUCT59,201401,697
N05,A69,PG02,PRODUCT34,201401,299
N05,A68,PG03,PRODUCT58,201401,0
N05,A68,PG03,PRODUCT59,201401,1061
N05,A68,PG02,PRODUCT34,201401,207
N04,A53,PG03,PRODUCT58,201401,0
N04,A53,PG03,PRODUCT59,201401,2222
N04,A53,PG02,PRODUCT34,201401,46
N05,A70,PG03,PRODUCT58,201401,0
N05,A70,PG03,PRODUCT59,201401,341
N05,A70,PG02,PRODUCT34,201401,66
N01,A12,PG02,PRODUCT34,201402,1126
N01,A12,PG02,PRODUCT40,201402,19
N01,A12,PG03,PRODUCT47,201402,5
N01,A12,PG03,PRODUCT60,201402,372
N01,A12,PG03,PRODUCT56,201402,58
N01,A12,PG03,PRODUCT57,201402,184
N01,A12,PG01,PRODUCT12,201402,12609
N01,A12,PG01,PRODUCT01,201402,438
N01,A12,PG02,PRODUCT33,201402,676
N01,A12,PG01,PRODUCT14,201402,36
N01,A08,PG03,PRODUCT58,201402,0
N01,A08,PG04,PRODUCT63,201402,907
N01,A08,PG01,PRODUCT15,201402,199
N01,A08,PG01,PRODUCT04,201402,1016
N01,A08,PG01,PRODUCT16,201402,47
N01,A08,PG02,PRODUCT36,201402,-1
N01,A08,PG03,PRODUCT59,201402,34895
N01,A08,PG02,PRODUCT34,201402,1027
N01,A08,PG02,PRODUCT40,201402,218
N01,A08,PG03,PRODUCT47,201402,10
N01,A08,PG03,PRODUCT60,201402,730
N01,A08,PG03,PRODUCT56,201402,162
N01,A08,PG03,PRODUCT57,201402,13
N01,A08,PG03,PRODUCT61,201402,1
N01,A08,PG01,PRODUCT12,201402,17281
N01,A08,PG01,PRODUCT01,201402,1165
N01,A08,PG02,PRODUCT33,201402,1667
N01,A08,PG01,PRODUCT14,201402,319
N04,A58,PG03,PRODUCT58,201402,0
N04,A58,PG03,PRODUCT59,201402,9091
N04,A58,PG02,PRODUCT34,201402,257
N04,A58,PG03,PRODUCT47,201402,0
N04,A58,PG03,PRODUCT60,201402,49
N04,A58,PG03,PRODUCT56,201402,4
N04,A58,PG03,PRODUCT57,201402,9
N04,A58,PG01,PRODUCT12,201402,5990
N04,A58,PG01,PRODUCT01,201402,443
N04,A58,PG02,PRODUCT33,201402,29
N03,A38,PG03,PRODUCT58,201402,0
N03,A38,PG03,PRODUCT59,201402,10821
N03,A38,PG02,PRODUCT34,201402,706
N03,A38,PG03,PRODUCT60,201402,0
N03,A38,PG03,PRODUCT56,201402,0
N03,A38,PG03,PRODUCT57,201402,0
N03,A38,PG01,PRODUCT12,201402,0
N03,A38,PG02,PRODUCT33,201402,0
N02,A14,PG03,PRODUCT58,201402,0
N02,A14,PG04,PRODUCT63,201402,299
N02,A14,PG01,PRODUCT15,201402,196
N02,A14,PG01,PRODUCT04,201402,387
N02,A14,PG01,PRODUCT16,201402,128
N02,A14,PG02,PRODUCT36,201402,1
N02,A14,PG01,PRODUCT05,201402,0
N02,A14,PG03,PRODUCT59,201402,7037
N02,A14,PG02,PRODUCT34,201402,254
N02,A14,PG02,PRODUCT26,201402,0
N02,A14,PG04,PRODUCT64,201402,0
N02,A14,PG03,PRODUCT48,201402,0
N02,A14,PG03,PRODUCT49,201402,0
N02,A14,PG04,PRODUCT74,201402,0
N02,A14,PG02,PRODUCT40,201402,6
N05,A64,PG02,PRODUCT33,201401,31
N05,A64,PG01,PRODUCT14,201401,9
N03,A43,PG03,PRODUCT58,201401,0
N03,A43,PG04,PRODUCT63,201401,58
N03,A43,PG01,PRODUCT15,201401,33
N03,A43,PG01,PRODUCT04,201401,92
N03,A43,PG01,PRODUCT16,201401,23
N03,A43,PG03,PRODUCT59,201401,2552
N03,A43,PG02,PRODUCT34,201401,159
N03,A43,PG03,PRODUCT47,201401,0
N03,A43,PG03,PRODUCT60,201401,142
N03,A43,PG03,PRODUCT56,201401,7
N03,A43,PG03,PRODUCT57,201401,0
N03,A43,PG01,PRODUCT12,201401,1429
N03,A43,PG01,PRODUCT01,201401,125
N03,A43,PG02,PRODUCT33,201401,104
N03,A43,PG01,PRODUCT14,201401,0
N05,A59,PG03,PRODUCT58,201401,0
N05,A59,PG04,PRODUCT63,201401,250
N05,A59,PG01,PRODUCT15,201401,180
N05,A59,PG01,PRODUCT04,201401,129
N05,A59,PG01,PRODUCT16,201401,79
N05,A59,PG02,PRODUCT36,201401,2
N05,A59,PG03,PRODUCT59,201401,2090
N05,A59,PG02,PRODUCT34,201401,192
N05,A59,PG03,PRODUCT47,201401,0
N05,A59,PG03,PRODUCT60,201401,28
N05,A59,PG03,PRODUCT56,201401,6
N05,A59,PG03,PRODUCT57,201401,28
N05,A59,PG01,PRODUCT12,201401,2781
N05,A59,PG01,PRODUCT01,201401,243
N05,A59,PG02,PRODUCT33,201401,78
N02,A21,PG03,PRODUCT58,201401,0
N02,A21,PG04,PRODUCT63,201401,26
N02,A21,PG01,PRODUCT15,201401,41
N02,A21,PG01,PRODUCT04,201401,39
N02,A21,PG01,PRODUCT16,201401,11
N02,A21,PG03,PRODUCT59,201401,14833
N02,A21,PG02,PRODUCT34,201401,512
N02,A21,PG03,PRODUCT47,201401,4
N02,A21,PG03,PRODUCT60,201401,53
N02,A21,PG03,PRODUCT56,201401,148
N02,A21,PG03,PRODUCT57,201401,519
N02,A21,PG01,PRODUCT12,201401,2231
N02,A21,PG01,PRODUCT01,201401,0
N02,A21,PG02,PRODUCT33,201401,302
N02,A21,PG01,PRODUCT14,201401,0
N02,A21,PG03,PRODUCT62,201401,633
N02,A27,PG03,PRODUCT58,201401,0
N02,A27,PG04,PRODUCT63,201401,5
N02,A27,PG01,PRODUCT15,201401,193
N02,A27,PG01,PRODUCT04,201401,11
N02,A27,PG01,PRODUCT16,201401,0
N02,A27,PG03,PRODUCT59,201401,148012
N02,A27,PG02,PRODUCT34,201401,3843
N02,A27,PG02,PRODUCT40,201401,697
N02,A27,PG03,PRODUCT47,201401,0
N02,A27,PG03,PRODUCT60,201401,0
N02,A27,PG03,PRODUCT56,201401,3
N02,A27,PG03,PRODUCT57,201401,363
N02,A27,PG01,PRODUCT12,201401,14507
N02,A27,PG02,PRODUCT33,201401,14
N02,A27,PG03,PRODUCT62,201401,254
N02,A27,PG02,PRODUCT17,201401,330
N02,A23,PG03,PRODUCT58,201401,0
N02,A23,PG04,PRODUCT63,201401,4870
N02,A23,PG01,PRODUCT15,201401,339
N02,A23,PG01,PRODUCT04,201401,2560
N02,A23,PG01,PRODUCT16,201401,21
N02,A23,PG02,PRODUCT36,201401,0
N02,A23,PG03,PRODUCT59,201401,22797
N02,A23,PG02,PRODUCT34,201401,834
N02,A23,PG03,PRODUCT47,201401,680
N02,A23,PG03,PRODUCT60,201401,615
N02,A23,PG03,PRODUCT56,201401,528
N02,A23,PG03,PRODUCT57,201401,1653
N02,A23,PG01,PRODUCT12,201401,11371
N02,A23,PG01,PRODUCT01,201401,2
N02,A23,PG02,PRODUCT33,201401,2230
N02,A23,PG01,PRODUCT14,201401,0
N02,A23,PG03,PRODUCT62,201401,1122
N05,A65,PG03,PRODUCT58,201401,0
N05,A65,PG03,PRODUCT59,201401,3077
N05,A65,PG02,PRODUCT34,201401,204
N05,A65,PG02,PRODUCT40,201401,34
N05,A65,PG03,PRODUCT47,201401,11
N05,A65,PG03,PRODUCT60,201401,58
N05,A65,PG03,PRODUCT56,201401,59
N05,A65,PG03,PRODUCT57,201401,58
N05,A65,PG01,PRODUCT12,201401,907
N05,A65,PG01,PRODUCT01,201401,163
N05,A65,PG02,PRODUCT33,201401,121
N05,A65,PG01,PRODUCT14,201401,0
N05,A65,PG03,PRODUCT62,201401,183
N02,A24,PG03,PRODUCT58,201401,0
N02,A24,PG04,PRODUCT63,201401,87
N02,A24,PG01,PRODUCT15,201401,1091
N02,A24,PG01,PRODUCT04,201401,887
N02,A24,PG01,PRODUCT16,201401,56
N02,A24,PG03,PRODUCT59,201401,28918
N02,A24,PG02,PRODUCT34,201401,8983
N02,A24,PG02,PRODUCT40,201401,0
N02,A24,PG03,PRODUCT47,201401,0
N02,A24,PG03,PRODUCT56,201401,307
N02,A24,PG03,PRODUCT57,201401,2234
N04,A46,PG03,PRODUCT58,201401,0
N04,A46,PG03,PRODUCT59,201401,0
N04,A46,PG02,PRODUCT34,201401,0
N01,A01,PG01,PRODUCT02,201401,225
N01,A01,PG01,PRODUCT06,201401,0
N01,A01,PG03,PRODUCT58,201401,0
N01,A01,PG04,PRODUCT63,201401,47708
N01,A01,PG01,PRODUCT15,201401,5684
N01,A01,PG01,PRODUCT04,201401,18722
N01,A01,PG01,PRODUCT16,201401,1316
N01,A01,PG03,PRODUCT59,201401,253391
N01,A01,PG02,PRODUCT34,201401,14836
N01,A01,PG01,PRODUCT07,201401,1153
N01,A01,PG04,PRODUCT75,201401,15798
N01,A01,PG01,PRODUCT08,201401,164
N01,A01,PG02,PRODUCT19,201401,1519
N01,A01,PG02,PRODUCT20,201401,41
N01,A01,PG03,PRODUCT47,201401,5650
N01,A01,PG03,PRODUCT60,201401,13
N01,A01,PG03,PRODUCT56,201401,5000
N01,A01,PG03,PRODUCT57,201401,9660
N01,A01,PG01,PRODUCT12,201401,139564
N01,A01,PG01,PRODUCT01,201401,14115
N01,A01,PG02,PRODUCT33,201401,7043
N01,A01,PG01,PRODUCT14,201401,9844
N01,A01,PG03,PRODUCT62,201401,5987
N01,A02,PG01,PRODUCT02,201401,6198
N01,A02,PG01,PRODUCT06,201401,0
N01,A02,PG03,PRODUCT58,201401,294
N01,A02,PG04,PRODUCT63,201401,2309
N01,A02,PG01,PRODUCT04,201401,2792
N01,A02,PG01,PRODUCT16,201401,0
N01,A02,PG03,PRODUCT59,201401,32183
N01,A02,PG02,PRODUCT34,201401,1104
N01,A02,PG03,PRODUCT47,201401,1844
N01,A02,PG03,PRODUCT60,201401,62
N01,A02,PG03,PRODUCT56,201401,93
N01,A02,PG03,PRODUCT57,201401,70
N01,A02,PG01,PRODUCT12,201401,9487
N01,A02,PG01,PRODUCT01,201401,321
N01,A02,PG02,PRODUCT33,201401,2089
N01,A02,PG01,PRODUCT14,201401,2272
N01,A02,PG03,PRODUCT62,201401,505
N01,A03,PG01,PRODUCT02,201401,1412
N01,A03,PG01,PRODUCT06,201401,10
N01,A03,PG03,PRODUCT58,201401,277
N01,A03,PG04,PRODUCT63,201401,3435
N01,A03,PG01,PRODUCT15,201401,2996
N01,A03,PG01,PRODUCT04,201401,1755
N01,A03,PG01,PRODUCT16,201401,4372
N01,A03,PG03,PRODUCT59,201401,29695
N01,A03,PG02,PRODUCT34,201401,598
N01,A03,PG03,PRODUCT47,201401,168
N01,A03,PG03,PRODUCT56,201401,152
N01,A03,PG03,PRODUCT57,201401,1473
N01,A03,PG01,PRODUCT12,201401,11114
N01,A03,PG01,PRODUCT01,201401,325
N01,A03,PG02,PRODUCT33,201401,651
N01,A03,PG01,PRODUCT14,201401,76
N01,A03,PG03,PRODUCT62,201401,1437
N02,A19,PG03,PRODUCT58,201401,0
N02,A19,PG03,PRODUCT59,201401,28898
N02,A19,PG02,PRODUCT34,201401,977
N02,A16,PG03,PRODUCT58,201401,0
N02,A16,PG04,PRODUCT63,201401,5668
N02,A16,PG01,PRODUCT15,201401,17
N02,A16,PG01,PRODUCT04,201401,9681
N02,A16,PG01,PRODUCT16,201401,8
N02,A16,PG03,PRODUCT59,201401,64499
N02,A16,PG02,PRODUCT34,201401,1637
N02,A16,PG02,PRODUCT38,201401,2971
N02,A16,PG02,PRODUCT26,201401,114
N02,A16,PG04,PRODUCT64,201401,223
N02,A16,PG03,PRODUCT48,201401,89
N02,A16,PG03,PRODUCT49,201401,15
N02,A16,PG04,PRODUCT74,201401,8
N02,A16,PG02,PRODUCT40,201401,413
N02,A16,PG03,PRODUCT47,201401,61
N02,A16,PG03,PRODUCT60,201401,3390
N02,A16,PG03,PRODUCT56,201401,1358
N02,A16,PG01,PRODUCT12,201401,55343
N02,A16,PG01,PRODUCT01,201401,3577
N02,A16,PG02,PRODUCT41,201401,538
N02,A16,PG03,PRODUCT51,201401,1
N02,A16,PG04,PRODUCT68,201401,2
N02,A16,PG02,PRODUCT33,201401,5718
N02,A16,PG01,PRODUCT14,201401,51
N01,A10,PG01,PRODUCT02,201401,0
N01,A10,PG03,PRODUCT58,201401,0
N01,A10,PG04,PRODUCT63,201401,10828
N01,A10,PG01,PRODUCT15,201401,425
N01,A10,PG01,PRODUCT04,201401,5606
N01,A10,PG01,PRODUCT16,201401,756
N01,A10,PG03,PRODUCT59,201401,86437
N01,A10,PG02,PRODUCT34,201401,7609
N01,A10,PG02,PRODUCT40,201401,15
N01,A10,PG03,PRODUCT47,201401,10
N01,A10,PG03,PRODUCT60,201401,478
N01,A10,PG03,PRODUCT56,201401,140
N01,A10,PG03,PRODUCT61,201401,0
N01,A10,PG01,PRODUCT12,201401,52065
N01,A10,PG01,PRODUCT01,201401,4221
N01,A10,PG02,PRODUCT33,201401,773
N01,A10,PG01,PRODUCT14,201401,78
N02,A15,PG01,PRODUCT02,201401,18946
N02,A15,PG01,PRODUCT06,201401,113
